# Hs,0 HHs,1 HHs,2 HHs,3 HHs,4 HHs,5 HHs,6 HHs,7 HHs,8 HHs,9 HHs,10 HHs,11 HHs,12 HHs,13 HHs,14 HHs,15 HHs,16 HHs,17 HHs,18 HHs,19 HHs,20 HHs,21 HHs,22 HHs,23 HHs,24 HHs,25 HHs,26 HHs,27 HHs,28 HHs,29 HHs,30 HHs
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,784,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6201,1809,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,32500,19175,3003,131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,118910,123050,38600,4300,151,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,311696,520674,285890,63480,5640,169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,591261,1514205,1344189,522445,92345,6969,185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,810084,3080451,4209051,2652419,821975,123431,8239,199,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,791350,4389570,8961312,8736504,4407354,1163750,154840,9408,211,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,537472,4324970,12994290,19069920,14976864,6470982,1520190,184680,10440,221,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,243542,2863718,12638990,27587430,32907240,22302504,8627976,1860480,211185,11305,229,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,68952,1213290,7968818,25938770,46602270,48483864,29688120,10623096,2154240,232815,11979,235,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,10948,303212,3065712,15188888,41448550,65943306,62778144,35939904,12205116,2374900,248336,12444,239,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,800,38780,648284,5129488,21921328,54189850,80364570,72634848,39975936,13169156,2502500,256880,12688,241,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,17,1905,61985,869505,6235593,25050025,59404345,85579065,75763545,41082041,13390377,2525705,257985,12705,241,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,15,1695,55615,786695,5689047,23046023,55110055,80057835,71469255,39078039,12843831,2442895,251615,12495,239,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,560,27860,477932,3880240,17013568,43147390,65641290,60856224,34354320,11607596,2262260,238160,12064,235,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,6188,179452,1898832,9840688,28078050,46689786,46441824,27771744,9848916,2000900,218416,11424,229,1,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,31824,600678,4225078,14707550,28223910,31330728,20451816,7795656,1683000,193545,10593,221,1,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,92378,1200914,5836610,13982670,18255960,13511736,5697720,1337220,165015,9595,211,1,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,167960,1553630,5319810,8837280,7814016,3784914,993510,134520,8460,199,1,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,203490,1366290,3317856,3798480,2228814,679630,103880,7224,185,1,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170544,842061,1443981,1116269,417725,74921,5929,169,1,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100947,370139,440979,221375,49335,4623,151,1,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42504,116886,93610,28520,3360,131,1,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12650,26450,13400,2200,109,1,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2600,4225,1209,85,1,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,459,59,1,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,31,1,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1

E(H),15
E(HH),7.5
E(HH/H),0.48333333334885537

i,P(H=i),P(H=i)/i,E(HH | H=i)
0,0.0000000009313225746154785,0,0
1,0.000000027939677238464355,0.000000027939677238464355,0.016666666666666666
2,0.00000040512531995773315,0.00000020256265997886658,0.1
3,0.0000037811696529388428,0.0000012603898843129475,0.25
4,0.00002552289515733719,0.000006380723789334297,0.4666666666666667
5,0.00013271905481815338,0.000026543810963630677,0.75
6,0.0005529960617423058,0.00009216601029038429,1.1
7,0.0018959864974021912,0.00027085521391459873,1.5166666666666666
8,0.0054509611800313,0.0006813701475039124,2
9,0.013324571773409843,0.0014805079748233159,2.55
10,0.02798160072416067,0.002798160072416067,3.1666666666666665
11,0.05087563768029213,0.004625057970935648,3.85
12,0.08055309299379587,0.006712757749482989,4.6
13,0.11153505183756351,0.00857961937212027,5.416666666666667
14,0.13543542008846998,0.009673958577747856,6.3
15,0.14446444809436798,0.009630963206291199,7.25
16,0.13543542008846998,0.008464713755529374,8.266666666666667
17,0.11153505183756351,0.006560885402209619,9.35
18,0.08055309299379587,0.00447517183298866,10.5
19,0.05087563768029213,0.0026776651410680067,11.716666666666667
20,0.02798160072416067,0.0013990800362080336,13
21,0.013324571773409843,0.0006345034177814211,14.35
22,0.0054509611800313,0.00024777096272869545,15.766666666666667
23,0.0018959864974021912,0.0000824341955392257,17.25
24,0.0005529960617423058,0.000023041502572596073,18.8
25,0.00013271905481815338,0.000005308762192726135,20.416666666666668
26,0.00002552289515733719,0.000000981649813743738,22.1
27,0.0000037811696529388428,0.0000001400433204792164,23.85
28,0.00000040512531995773315,0.000000014468761427061899,25.666666666666668
29,0.000000027939677238464355,0.0000000009634371461539434,27.55
30,0.0000000009313225746154785,0.00000000003104408582051595,29.5

E(1/H),0.06915154388769597
1 / E(H),0.06666666666666667
